Date,Market,Code,Name,Variety,High,Mid,Low,Avg,Volume
114/11/26,一市,FV0,辣椒,其他,75.6,128,150.3,63.6,37.1
114/11/26,一市,FV1,辣椒,紅小,96.3,979,162.3,90.4,48.2
114/11/26,一市,FV2,辣椒,青小,40.9,493,68.7,40.5,14.3
114/11/26,一市,FV3,辣椒,雞心,290.0,14,300.0,295.7,262.9
114/11/26,一市,FV4,辣椒,朝天椒,95.6,"1,632",120.6,93.3,77.5
114/11/26,一市,FV6,辣椒,糯米椒,134.1,817,184.8,136.0,77.8
114/11/26,一市,FV9,辣椒,進口,90.0,21,90.0,90.0,90.0
114/11/26,一市,FV91,辣椒,進口,68.1,462,70.0,69.1,63.2
114/11/26,一市,FV91,辣椒,進口紅小,68.1,462,70.0,69.1,63.2
114/11/26,一市,FV94,辣椒,進口,70.0,560,70.0,70.0,70.0
114/11/26,一市,FV94,辣椒,進口朝天椒,70.0,560,70.0,70.0,70.0
114/11/26,二市,FV0,辣椒,其他,58.1,47,75.0,63.9,23.6
114/11/26,二市,FV1,辣椒,紅小,82.8,445,119.6,83.5,43.5
114/11/26,二市,FV2,辣椒,青小,58.2,165,78.0,61.5,28.6
114/11/26,二市,FV4,辣椒,朝天椒,78.7,708,95.2,80.4,57.1
114/11/26,二市,FV6,辣椒,糯米椒,83.3,271,124.4,86.1,34.0
114/11/26,二市,FV91,辣椒,進口,68.0,140,68.0,68.0,68.0
114/11/26,二市,FV91,辣椒,進口紅小,68.0,140,68.0,68.0,68.0
114/11/26,二市,FV94,辣椒,進口,66.8,280,70.0,66.3,65.0
114/11/26,二市,FV94,辣椒,進口朝天椒,66.8,280,70.0,66.3,65.0
114/11/25,一市,FV0,辣椒,其他,99.5,130,178.5,89.0,52.3
114/11/25,一市,FV1,辣椒,紅小,87.8,"1,416",152.2,82.2,40.0
114/11/25,一市,FV2,辣椒,青小,36.9,662,63.8,33.7,19.5
114/11/25,一市,FV3,辣椒,雞心,290.0,10,300.0,300.0,250.0
114/11/25,一市,FV4,辣椒,朝天椒,88.9,"1,695",105.8,88.2,74.0
114/11/25,一市,FV6,辣椒,糯米椒,102.5,"1,284",137.2,106.1,56.8
114/11/25,一市,FV9,辣椒,進口,90.0,21,90.0,90.0,90.0
