Date,Market,Code,Name,Variety,High,Mid,Low,Avg,Volume
115/01/16,一市,FV0,辣椒,其他,110.0,119,222.7,95.8,40.0
115/01/16,一市,FV1,辣椒,紅小,113.7,"2,598",159.5,116.8,58.8
115/01/16,一市,FV2,辣椒,青小,37.3,717,44.5,39.4,24.0
115/01/16,一市,FV3,辣椒,雞心,279.2,24,350.0,265.3,250.0
115/01/16,一市,FV4,辣椒,朝天椒,186.5,"2,401",210.3,190.5,150.6
115/01/16,一市,FV6,辣椒,糯米椒,88.3,"1,082",125.2,88.4,51.0
115/01/16,一市,FV9,辣椒,進口,130.0,21,130.0,130.0,130.0
115/01/16,二市,FV1,辣椒,紅小,129.3,437,173.5,127.8,89.9
115/01/16,二市,FV2,辣椒,青小,54.8,44,57.0,55.6,50.0
115/01/16,二市,FV4,辣椒,朝天椒,204.1,"1,003",236.4,205.3,168.3
115/01/16,二市,FV6,辣椒,糯米椒,93.1,321,111.9,97.9,59.7
115/01/15,一市,FV0,辣椒,其他,116.5,106,293.2,88.0,25.0
115/01/15,一市,FV1,辣椒,紅小,104.0,"2,256",153.3,102.0,60.9
115/01/15,一市,FV2,辣椒,青小,41.9,530,45.0,44.5,31.0
115/01/15,一市,FV3,辣椒,雞心,400.0,3,400.0,400.0,400.0
115/01/15,一市,FV4,辣椒,朝天椒,186.8,"2,123",213.0,187.6,158.5
115/01/15,一市,FV6,辣椒,糯米椒,85.9,"1,323",122.4,86.7,47.1
115/01/15,一市,FV9,辣椒,進口,160.0,21,160.0,160.0,160.0
115/01/14,一市,FV0,辣椒,其他,97.2,232,262.6,68.5,17.9
115/01/14,一市,FV1,辣椒,紅小,125.0,"2,255",169.5,128.0,71.6
115/01/14,一市,FV2,辣椒,青小,41.4,575,53.0,43.7,22.8
115/01/14,一市,FV3,辣椒,雞心,229.4,18,248.3,226.3,220.0
115/01/14,一市,FV4,辣椒,朝天椒,198.6,"2,514",232.6,198.3,165.6
115/01/14,一市,FV6,辣椒,糯米椒,98.7,"1,372",134.9,100.5,57.2
115/01/14,一市,FV9,辣椒,進口,190.0,21,190.0,190.0,190.0
115/01/13,一市,FV0,辣椒,其他,85.4,175,251.4,50.9,23.1
115/01/13,一市,FV1,辣椒,紅小,140.6,"3,047",169.5,142.2,106.7
115/01/13,一市,FV2,辣椒,青小,56.3,525,65.0,58.9,39.9
115/01/13,一市,FV3,辣椒,雞心,273.3,6,300.0,268.9,260.0
115/01/13,一市,FV4,辣椒,朝天椒,208.5,"4,006",251.9,207.0,169.4
115/01/13,一市,FV6,辣椒,糯米椒,107.2,"1,010",148.5,105.6,70.9
115/01/13,一市,FV9,辣椒,進口,130.0,42,130.0,130.0,130.0
115/01/11,一市,FV0,辣椒,其他,101.4,134,270.7,70.0,26.3
115/01/11,一市,FV1,辣椒,紅小,148.8,"1,626",184.2,148.3,114.8
115/01/11,一市,FV2,辣椒,青小,38.4,632,45.0,40.0,27.1
115/01/11,一市,FV3,辣椒,雞心,225.0,2,250.0,225.0,200.0
115/01/11,一市,FV4,辣椒,朝天椒,226.4,"2,402",286.9,224.0,173.0
115/01/11,一市,FV6,辣椒,糯米椒,97.1,882,139.2,97.1,55.3
115/01/10,一市,FV0,辣椒,其他,100.8,172,240.5,78.6,27.9
115/01/10,一市,FV1,辣椒,紅小,128.4,"1,896",165.4,127.6,93.5
115/01/10,一市,FV2,辣椒,青小,33.7,470,49.6,33.8,17.5
115/01/10,一市,FV3,辣椒,雞心,219.6,22,246.8,217.0,200.0
115/01/10,一市,FV4,辣椒,朝天椒,232.0,"2,486",267.3,231.5,198.4
115/01/10,一市,FV6,辣椒,糯米椒,88.4,"1,090",130.8,86.2,52.8
115/01/10,一市,FV9,辣椒,進口,190.0,21,190.0,190.0,190.0
115/01/10,一市,FV91,辣椒,進口,120.0,175,120.0,120.0,120.0
115/01/10,一市,FV91,辣椒,進口紅小,120.0,175,120.0,120.0,120.0
115/01/09,一市,FV0,辣椒,其他,135.8,167,275.2,124.7,29.8
115/01/09,一市,FV1,辣椒,紅小,116.4,"2,645",163.5,115.8,71.1
115/01/09,一市,FV2,辣椒,青小,40.9,804,50.7,42.7,25.9
115/01/09,一市,FV3,辣椒,雞心,167.8,50,191.0,163.0,159.0
115/01/09,一市,FV4,辣椒,朝天椒,218.9,"2,815",261.4,226.7,152.8
115/01/09,一市,FV6,辣椒,糯米椒,91.2,"1,765",148.2,90.4,36.8
115/01/09,一市,FV9,辣椒,進口,190.0,21,190.0,190.0,190.0
115/01/09,一市,FV91,辣椒,進口,120.0,100,120.0,120.0,120.0
115/01/09,一市,FV91,辣椒,進口紅小,120.0,100,120.0,120.0,120.0
115/01/07,一市,FV0,辣椒,其他,138.2,118,271.8,124.3,46.2
115/01/07,一市,FV1,辣椒,紅小,96.1,"2,652",139.2,95.8,53.9
115/01/07,一市,FV2,辣椒,青小,48.1,570,54.5,49.5,37.5
115/01/07,一市,FV3,辣椒,雞心,218.8,16,240.0,217.9,200.0
115/01/07,一市,FV4,辣椒,朝天椒,166.8,"2,235",205.3,170.0,118.9
115/01/07,一市,FV6,辣椒,糯米椒,85.3,"1,192",132.6,83.4,43.5
115/01/07,一市,FV9,辣椒,進口,190.0,21,190.0,190.0,190.0
115/01/07,一市,FV91,辣椒,進口,95.6,135,100.0,100.0,77.8
115/01/07,一市,FV91,辣椒,進口紅小,95.6,135,100.0,100.0,77.8
115/01/07,一市,FV92,辣椒,進口,4.0,18,4.0,4.0,4.0
115/01/07,一市,FV92,辣椒,進口青小,4.0,18,4.0,4.0,4.0
115/01/07,一市,FV94,辣椒,進口,120.0,14,120.0,120.0,120.0
115/01/07,一市,FV94,辣椒,進口朝天椒,120.0,14,120.0,120.0,120.0
115/01/06,一市,FV0,辣椒,其他,75.8,140,192.7,53.2,26.8
115/01/06,一市,FV1,辣椒,紅小,94.7,"2,391",119.4,95.2,68.8
115/01/06,一市,FV2,辣椒,青小,55.6,412,72.0,56.0,38.1
115/01/06,一市,FV3,辣椒,雞心,181.9,26,251.9,165.9,160.0
115/01/06,一市,FV4,辣椒,朝天椒,138.6,"2,962",163.7,140.5,107.7
115/01/06,一市,FV5,辣椒,青龍,53.0,15,60.0,60.0,25.0
115/01/06,一市,FV6,辣椒,糯米椒,87.0,"1,199",129.1,87.2,44.2
115/01/06,一市,FV9,辣椒,進口,190.0,21,190.0,190.0,190.0
115/01/04,一市,FV0,辣椒,其他,105.0,110,302.7,65.9,24.6
115/01/04,一市,FV1,辣椒,紅小,76.0,"2,321",114.1,74.4,43.0
115/01/04,一市,FV2,辣椒,青小,47.2,422,50.0,47.4,43.6
115/01/04,一市,FV3,辣椒,雞心,220.0,4,280.0,206.7,200.0
115/01/04,一市,FV4,辣椒,朝天椒,126.3,"2,151",148.4,130.1,92.5
115/01/04,一市,FV6,辣椒,糯米椒,92.4,897,135.2,90.9,54.3
115/01/04,一市,FV9,辣椒,進口,130.0,21,130.0,130.0,130.0
115/01/04,一市,FV91,辣椒,進口,90.0,50,90.0,90.0,90.0
115/01/04,一市,FV91,辣椒,進口紅小,90.0,50,90.0,90.0,90.0
115/01/04,一市,FV92,辣椒,進口,5.0,50,5.0,5.0,5.0
115/01/04,一市,FV92,辣椒,進口青小,5.0,50,5.0,5.0,5.0
115/01/04,一市,FV94,辣椒,進口,100.0,140,100.0,100.0,100.0
115/01/04,一市,FV94,辣椒,進口朝天椒,100.0,140,100.0,100.0,100.0
115/01/03,一市,FV0,辣椒,其他,89.3,120,280.8,43.5,35.0
115/01/03,一市,FV1,辣椒,紅小,85.2,"2,123",119.4,87.8,43.0
115/01/03,一市,FV2,辣椒,青小,52.1,372,60.0,57.0,29.5
115/01/03,一市,FV3,辣椒,雞心,238.1,8,288.1,234.2,200.0
115/01/03,一市,FV4,辣椒,朝天椒,131.8,"2,489",151.5,132.3,110.9
115/01/03,一市,FV5,辣椒,青龍,60.0,18,60.0,60.0,60.0
115/01/03,一市,FV6,辣椒,糯米椒,85.8,"1,033",127.4,82.5,54.1
115/01/03,一市,FV9,辣椒,進口,130.0,21,130.0,130.0,130.0
115/01/03,一市,FV91,辣椒,進口,70.0,175,70.0,70.0,70.0
115/01/03,一市,FV91,辣椒,進口紅小,70.0,175,70.0,70.0,70.0
115/01/03,一市,FV94,辣椒,進口,105.0,105,105.0,105.0,105.0
